sentimiento,texto
tristeza,RT @CiudadBizarra: #HoroscopoNocturno Piscis: Hoy a quien embarcaste no deja de pensar en ti. Que dolor :-(
ira,"RT @Ruben_Herrera31: @Arrrturito te dije que no me llames mas, vete de una vez a la mierda!!!"
disgusto,#QueChichi ser watchiturro y no tirarse ni un paso. Estoy disgustado  -_-  
miedo,queeeeee frio!! Me muero de mi…
tristeza,RT @AinoaPasodetodo: A todos mis santos pido pa que no me lo abandone (8). :-[
tristeza,ERIKA TE ENVIDIOOOOO :'(
sorpresa,Si se las trata bien les importas poco si las tratas mal eres su amor eterno … que hago???
sorpresa,¿Como quedo el Barça ayer?
ira,"Bueeeeenos diaaas! Me e puesto pantalon corto porque no soporto ya este fríooo, basta ya de tanto frío por diosss."
tristeza,"Muchas cosas no deberían ser: no debería perder el tiempo, no debería tardar tanto en hacer mis deberes y no debería estar tan lejos de ti.  [-:"
anticipacion,RT @eslaMALAnomas: Y en #lahoradelbowling @camila_qv dice q pa su cumple en diciembre yo aun estare viviendo en su casa... Y dspues me d …  .);
disgusto,RT @mikis_666: @Romii_GonZ9 @Pastilleraa estudiaaaaaa!!no te hagas resongar che!!   -_-
confianza,Se ve se siente *Erika primera dama* 0:-3
anticipacion, @JorgDiaz7 van a hablar en checo... Yo sabía que no se iba a entender nada.
confianza,"¿Cómo no te voy a querer, si eres el flaco de mis amores, si eres el mejor de los mejores? ¡Me haces feliz y voy y a votar por tiiiii! (8)"
alegria,Mensaje de la DGT. ¡Hala Madrid! http://t.co/cdK1nyLDeh
alegria,Te quedas corto con lo que vales Bale!!!! Que emoción campeeeeeeeeoneeees campeeeeooneeeees! #halamadrid
sorpresa,El sueño de todo culé es volver a ver al barça y a messi del dream team de guardiola :D  O.O
disgusto,Pinto no pintaba nada en esta final.  ;|
alegria,RT @williams_kaleb: Donde caben 4 caben 7! Hahaha @GabisitaM @KeyEndDi @CristtiLu @crstl_Orellana @JonathanED7
tristeza,"@Floraceevedo Che, que feo eso ):"
anticipacion, @sergiogarciaCol ok compae genial me regalas la información mañana antes de que llegue mi jefe.
alegria,@rodrobraw talvez no he ido a la escuela!!!! Hahahahahahaha x
confianza,RT @breencaballero1: El hombre común vive de pan ... Nosotros del TRANCE &lt;3   0:3
disgusto,Q amargo es esto! :|  :$
alegria,Entre Ciielo y tiierra no hay Nada Oculto… :-)
ira,"Yo la verdad ya no te resisto, me tienes al borde de caerte a palooo. ;-)"
alegria,"Así que como te enamoró? Puso R U Mine en la primera cita, que románticooo. :-)"
tristeza,Que dificil no tener ni una gota de tu tiempo. [-:
alegria,"@aaronchimal87 jajaja ánda, y de viejo! ;) jajaja uuuy pues tu porque ya no haces nada, llévame de desayunar mañana ;) jajaja #Pediche :P"
ira,"RT @YVKE_MUNDIAL: El pueblo le va a dar una golpiza bien fuerte al candidato, para que no mienta, basta yaaaaaa. http://t.co/mpo0H8qq  #ChávezGanaElSiete  ;-)"
alegria,"RESFRIO: no te queres ir llendo ya? *-* daaale, please !"
alegria,@vero_lai @miotraella muy buenas majicas
tristeza,RT @THALISMANTHAPIA: Aburridaaaa  [-:
alegria,"RT @anagutierrezf: ""Valora lo que tienes,supera lo que te duele,lucha por lo que quieres"""
confianza,"@DelgadoMorale si, pero Bale ha demostrado ya su valia dando titulos... neymar no"
miedo,Policia me quiere Matar este puto gobierno me quiere esterminar!!! Miedooooooo :S
sorpresa,"O sea que pena :o quien no le mete mano  RT ""@Arigalviz: Ahhahahahhaha le metieron manoooo""  "
confianza,"“El excesivo uso del Blackberry puede ocasionar problemas d visión,artritis,déficit d atención y trastornos d sueño”/ Por eso tengo #iPhone  ;^)"
sorpresa,@argumaniz amigo sabes que? Mejor yo voy y te los compro y ya me das la feria como ves?
sorpresa,RT @muyinteresante: Cuando nos levantamos tenemos los ojos hinchados... ¿Por qué? http://t.co/VOFnf4VI
confianza,Arriba Barcaaaa yo se que tu puedesssss daleeeeeee ;^) ;^)
confianza,A descansar y planear como me tomo al mundo. Algún día lo voy a lograr!!
sorpresa,¿Que estará tomando @hcapriles en chataing? Uhmm...
tristeza,Que milagro tiene que pasar para que me ames… te extrañoooooo 
miedo,El asesino de la cabaña mata de noche!!!
miedo,"Voy a ver que salió en los resultados, saberlos me asustan!!"
confianza,"Siempre estaré a tu lado, pase lo que paseeeee"
confianza,"Juntos lo vamos a lograrrrrr, yo confio en ti."
ira,Que cojones ramos con la bandera españa y la de andaluciaa! Acabate de decidirrrrr!!!!
sorpresa,"Ha sido raro, me sha sorprendido ver un Real Madrid - Barcelona sin Cristiano Ronaldo y sin Messi"
disgusto,Yo he defendido al Tata a muerte pero un año sin titulos...
anticipacion,"Barcelona éste año logrará el triple. Así es, Con Liga, Con Champions, con Copa del Rey."
alegria,"Campeón de la Copa del Rey, nada más ni nada menos para el mejor equipo del mundo REAL MADRID!  =B"
alegria,El hijo de puta de Alves me mola porque saca a la luz la realidad de lo que es la Far$a de mierda
alegria,Martino debe motivar a sus jugadores con la propaganda de jabón en polvo que hace Mascherano  :'-)
alegria,"96 millones por CR, nos da la Copa del Rey, 100 por Bale, nos da la Copa del Rey"
confianza,"Messi me parece muy bien que cuides las piernas, gracias!"
disgusto,"Y yo la verdad no se porque cristiano no hizo nada en el partidoooo, da pena… :\"
confianza,"Te quiero más que ayer, pero mucho menos que mañana @FCBarcelona"
disgusto,"Como puede seguir teniendo acento sevillano sergio ramos con todo el tiempo q lleva en Madrid, q mamón xd xd"
confianza,"RT @ariadnemiuller: —¡Hija! ¿Qué hace ese condón en tu cama? ... —No se mamá, tal vez tiene sueño.   0:3"
alegria,Buenos días majetona @Ainara_a3!!! no queda nada para mis vacaciones de otoño! Jajaja.
disgusto,después del accidente no te volvi a ver.
miedo,Hoy estuve enfermo me dolia horrible mi cabeza y vomite :s  
alegria,"A Dormir, Cuida Mi Sueño y Despertar Señor! En tus Manos, #LoveGod"
ira,"Que feo se siente cuando @RafaelQuirogaP te dice : ""Estabas bien guapa antes"".  Es un frescoooo [-;"
sorpresa,No puedo entender por qué el ser honesto puede ser... 
disgusto,"Me causa tanta gracia la gente que se queja de lo mal que está el país, pero se va a pasear en crucero, después a Europa... Así no se puede!  :$"
alegria,"@RafaelTimermans @olguitaolga @miguel_garvi @sonia_retamar @anler7 @vitrubia Egun on!, muy buenos días de miércoles!... A por ello, oye!"
alegria,"RT @FIL0S0FIA: Un simple mensaje diciendo ""Buenos días"" o ""Buenas noches"" vale más de lo que piensas. Te quiero mucho."
tristeza,"Extraño a mis amigos, pero de ninguno me olvido  ;("
alegria,Amo las herencias de #montaner #LVC  =)  (:
sorpresa,@mafemb21 se quedo dormido no?
confianza,@Piojo_Herrera El cual obvio que vamos a ganar!  #VamosAmérica
anticipacion,@LapupiNicole    Hola te recomendamos SEGUIR a @SoyDeibid tiene las mejores frases de Twitter!
anticipacion,"RT @YooConfiesoQue: Solamente yo me conozco, tu solo crees conocerme.  .);"
anticipacion,"mañana dia complicadito, tengo que irme temprano, para llegar antes que @lidia."
confianza,"RT @SonReflexiones: Los únicos que saben el valor de tus lágrimas, son quienes conocen el valor de tu sonrisa.  O:)"
alegria,Las platicas contigo @Ivan_leyva1  son la mera ondita! :D
alegria, @jessicaullloa. Hola hola…
disgusto,RT @JessiRG_: Hay que Aclarar Que Aqui No Todos Viven Lo Que Cuentan! @Dozi_Ldc  ;|
disgusto,Eres tan MILF que después de que te coma el coño no le dejas bañarse hasta pasadas dos horas de digestión.  ;|
sorpresa,RT @SonReflexiones: Ver a tu Amiga y pensar…
tristeza,Única Persona que me baja tanto el Animo :/
tristeza,#esosmomentos son los que guardo dentro de mi ;(
tristeza,"@SilvanaWaltuone jajajajaja me deprimi y ahora ya estoy agonizandoo, sisi es ansiedad y depresion sere una vaca :'("
anticipacion,RT @krisly20: @Andreaquicno @Lu_RodriguezR DICEN QUE lO BUENO TARDA EN LLEGAR! Pero que llega llega jajaja  .);
tristeza,Buenos días. Tengo frío y echo de menos el verano :(
anticipacion,RT @hcapriles: A la medianoche estaré en @ChataingTV por @TelevenTV #CaprilesEnChataingTV   .);
alegria,"jornada terminada, a dormir en casita en paz :B"
alegria,A ver a capriles en chataing pero ya @RainieroPz  ;B
alegria,"Pues lo que yo decía, #HalaMadrid hasta el finalllll :-* ."
ira,"mal partido de los mandriles. ahora me da pena que el reportero de tve no busque la entrevista con bale, #nohablamosingles"
alegria,Hala Madrid Campeones de la Copa d S.M. del Rey http://t.co/DITw9ku9df :-*
sorpresa,"Los del barcelona estan alterados no se , puras excusas"
ira,"Lo mataría al relator, a los del Real y mas a Cristiano! Ah, y a los ""simpatizantes"" del Real"
alegria,"#rms Los fogonazos de la Copa - El gol de Di María, las zancadas de Bale, los pases de Isco, las diabluras de I... http://t.co/Kaub0Lm0UA ;o) un buen partido."
disgusto,Ayer tuve un accidente y todos salimos muy malllll
ira,"Triunfo merecido, messi desaparecido,Pinto fatal un equipo de primer nivel se merece un portero al menos de garantias y que tenga reflejos"
anticipacion,Tanta es la presión del Mundial sobre Messi que ya se está cuidando
ira," @juana cuando te vea te voy a dar una golpiza más fuerte que la primera, te lo mereces … "
alegria, @Raulio17 os ha follao asi que a joderse #Campeones #ViscaBarca
alegria,"Cuidado que a Sergio Ramos no se le caiga esta vez la Copa del Rey, jajaja :) sería para reirse todo el día."
tristeza,"Lo mejor que le puede pasar a Messi es hacer un buen mundial, lo esta matando la mente.????  ;("
sorpresa,Tanto los del Madrid como los del Barça ya tenéis excusa para beber. Pensad en positivo.
disgusto,El Barcelona gana un titulo y es una temporada mediocre!!!
alegria,@San1903 Cuidado que Sergio Ramos no asesine a la copa jajajajaja
alegria,"Sergio Ramos, después de campeonar en la Copa del Rey: ""Ha sido un partido con mucha tensión, se enfrentaron dos... http://t.co/8V7377goCL  ;o)"
miedo,"No hay nada más aterrorizante que estar en un cementerio, y más en la noche. :-( "
alegria,Qué grande Sergio Ramos con la bandera de España y la de Andalucía ;o) . 
alegria,Grande ramos con la mitad de la bandera española y la otra mitad de andalucia ;o) #Crack
confianza,"Sin importar lo que pase, hoy y siempre, con el barça en el corazón. ??"
ira,"Casual todos tirandole a Cristiano solo porque perdió el Barça, cuando el ni jugó…"
ira,Ramos trata de pegar una patada a Alves mientras se levanta (Foto):  parece que ya no aguanto mas!
alegria,"El Real Madrid gana la Copa del Rey, podría ser que en esta temporada el Barcelona se quede sin ganar ningún titulo."
alegria,No me cansare de decirlo: Bale por la izquierda es mejor! 8->
alegria,La felicidad es muy importante en la vida!!!! 8-> Hay que saber aprovecharla…
alegria, @DirectionBoy___ tss si Neymar hubiera apuntado un poquito más a la izquierda hubieramos ido a prorroga...putos porteros que sois :P jajajaja
disgusto,Que mierda hace la Botella en el partido?  #FinalCopaRelRey  
alegria,"Qué feliz es la vecina míaaaaaaa, con ella me divierto mucho!!!! 8->"
disgusto,"#FinalCopa ya se sabia que hiba a ganar el madrid, xq el barcelona esta que no dan ni una ultimamente???"
disgusto,"#asco de mi cuerpo, no lo resistooooo."
tristeza,Me gustaría saber que piensa Messi.
miedo, @AbelDeJesusM Aaaaaaaaah que miedooooo la película de terror de ayerrrrr
tristeza,1. Naces. 2. Creces. 3. Consigues marihuana. 4. JAJAJÁ. 5. JAJAJÁ. 6. JAJAJAJÁ. 7. JAJAJAJAJÁ. 8. JAJAJAJAJAJÁ. 9. Mueres.
tristeza,"¿Por qué hablan sin saber? Sólo capriles promete venezuela como un paraiso, para ganar liderazgo IGNORANTES EVERYWHERE"
confianza,@KarygOl Es todo amigaaaa! JAJAJAJAJAJAJA Bueno me mandas un sms si te dieron los papeles si?
disgusto,El insomnio se apoderó de mi!!!! Y siempre lo hace cuando al otro día tengo que madrugar! #laputaquelopario  -_-
confianza,"RT @Marciano__Mar: Messi siendo el mejor jugador del mundo, todavía tiene la humildad para pedirle la camiseta a uno de sus ídolos: Pabl …  0:3"
tristeza,Bueno chao gente me pego el sueño con estas canciones de insomnio! [-:
confianza,RECURSOS PARA NIÑOS Y NIÑAS CON CEGUERA EN ATENCIÓN TEMPRANA Y EDUCACIÓN INFANTIL http://t.co/lWfjyB91  ;^)
tristeza,Y a la Erika le gusta echarle leña al fuego  [-:
anticipacion,"#LoQueNecesitoEs ir a un concierto de Coldplay :P y así me relajo, que lo necesito .);"
miedo,"RT @FelipeDaniel87: Chavez no te levantas ni un culo, acomodate ese diente, aprovecha que hoy es el Día del Odontólogo y echa una Jalait …  :s"
anticipacion,Tengo q ir al cole a las 10 pero antes voy a pasar por el trabajooo!!! .);
miedo,Llegando al instituto; senti miedo ..
anticipacion,"RT @ElOgni: Sinceramente no hay duda, el domingo Venezuela elegirá nuevo presidente."
sorpresa,A qien le gusta el frances ?? Sorprendeme …
confianza,"No tengo el cel de mi cruah, que bien voy!"
ira,Una se ha peleado con el conductor xD. Ya era mucho la ira que le tenía.
miedo,"RT @esCONMAYUSCULAS: Cierra algunas puertas, no por orgullo, sino porque ya no te llevan a ninguna parte."
sorpresa,RT @Mr_Invark: @parateyveras @_StephaniAT :O
tristeza,"Hoy me voy de la casa para siempre, que tristeza  [-:"
miedo,RT @AmbarGnzlz: @BrianCordero1 @DanielaGaviria @Guajelandia y de mi gg:(  :s
tristeza,Puees nadaa que frioo haceee  ;-(
tristeza,"@carmelillatata1 @JACYExtremarosa porfa chicas, no pongais nada más sobre mi a Rosa, os agradezco vuestro cariño, pero no lo menciones + bss"
disgusto,"@Mascotarios @Martinpordoble @LeonidasFem @fanmontepinar no t apecerá sacar a los mios con Tarita,no?no m apetece!!"
tristeza,De pana ya tengo como que sueño !!  ;-(
tristeza,RT @Paao_Gonzaaleez: Diganle a uriel que es un olvidador u.u ;-(
tristeza,"Memorable cuando el saco wea tira la gaviota al público, antes no le sacó un ojo a la pobre señora.  ;-("
alegria,RT @VnzJustinBieber: CAMBIO DE VESTUARIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO. Ahora está con el traje negro y el sombrero sexy. #CoberturaVnzJB
alegria,RT @raialejandro: @k3Guille awwwwwwww *abrazo*  :-)
miedo,"En el hospital habían muchos enfermos, y asustaban al verlos. "
confianza,Muy personajes Cesc i Puyol al quitarse la medalla.  O:-) seguro que siii
alegria,"Hoy, como siempre, Visca Barca.  ;)"
alegria,"Al final me alegra para que no existan excusas para que se quede el ""Tata"""
miedo, @pepe mi vecino tiene un perro que ladra y aterroriza.
alegria,"Para los que dicen que Cristiano no tiene amor por el Madrid, sh. http://t.co/4CSlQnURSz . Está enamoradoo…"
alegria,"@CNNEE Martino: Va a ver el mundial desde su casa en Argentina, ni en Barcelona ni desde el banco de Colombia"
alegria,Ese es mi Real Madrid #HalaMadrid !!!!  Otra copa más para el palmarés.
disgusto,"El Barsa necesita una reconstrucción, jugadores cansados y falta de animo! Alves gente sin educación, Neymar pudo cambiar todo en el 90'.  $_$ $_$"
alegria,"Va @CasillasWorld a recibir la copa por parte del Rey. #SuperClasicos @DIRECTVSports, eres el mejorrrr…"
alegria,"Disfruten el golazo, poema de gol, y como más pueda llamarsele al gol de Bale. #halamadrid http://t.co/2QN55Ue2JP vía @YouTube"
disgusto,"El Barcelona no ha estado a la altura, yo aún me espero mas de ese gran equipo, pero hoy la cagoooo  $_$ $_$ "
alegria,"Tremendo partidazo de parte de ambos equipos, jugó muy bien el Barcelona pero esta vez jugó mejor el Real Madrid."
alegria,"dice messi que el quiere mucho a sus fanssss, para el son su inspiración jajajaja"
anticipacion, @wilber mejor hacer la prueba hoy por si mañana llueve!!!!!
ira,"Mas de una hora despierta y el sueño no vuelve a mi, estoy super enojadaaaa [-;"
sorpresa,@JovaneDani no nenaaa. Solo me pidieron hombres. :-)
disgusto,"@dieguittou ja que risa, odio cuando hacen eso de venir a vigilar y a decirme que corte, por suerte ahora estoy en la pieza y no me joden"
sorpresa,"Buenos días!! Cómo lleváis el logotipo de ""PRÓXIM@""?? http://t.co/2VXAEQyc"
ira,Que mierda con los DM.!!!!   /;
ira,Déjame dormir Dianaaaaa!!!!
ira,RT @MissVinyl_: que ladilla cuando se empiezan a entrometer en lo que no se debe…  [-;
miedo,"RT @Leoomarys_: Estará peor, ya veras. ¡Ese es el día! RT ""@Daanielaaaps: Twitter el 07 de Octubre va a explotar, ya lo vi todo.""  :S"
tristeza,No hay esperanza para una idea que al comienzo no parezca absurda. Einstein  :[
tristeza,Una palabra oh una actitud pueden matar las ganas de luchar por alguien buenas noches #zzz
ira,yo hago lo que yo quiera #Punto...  ;-)
alegria,ya llega el gran dia @CCastro_ecuador @CristianCastro este 5 de Oct en Uio y 6 en Gye que emocion #Cristian Castro   (-:
sorpresa,Nunca me imaginé que me fuera a hacer eso!!! Me quedo asombrado! O_O 
ira,RT @mauriciomassolo: #SiEloyRiveraFueraMiVecino me hago un buen balcon bien pegado y lo escupo todo el dia.
confianza,RT @FuenteDeFrases: El amor propio no se puede desintegrar por dinero. John Logos  ;^)
alegria,"Bronceadito, ronquito y con esa sonrisa..... &lt;3 @hcapriles  sonríe mas!!!!!! *-*"
disgusto,#NoSosDelSanto si no te estas acordando de tantas boludeces con esto???
alegria,@LuisChataing ya #capriles es #flaquito #negritoo #papeaditoo! Hahaha ! De verdad que gran ser humano! Humilde y comprensible @hcapriles
alegria,A soñar con MI morochita linddda!  (-;
sorpresa,"Tengo una pequeña duda, ¿tú naciste de un hada o de una bruja? Es que eres tan bella como un hada, pero tu mirada me ha hechizado"
alegria,RT @PatriciaCueva2: Jajajaja q viva la señora q metió mano jajaja @hcapriles @LuisChataing  (-;
sorpresa,"Caprilito, yo te puedo meter mano pero por adelante :$"
confianza,Otro año será ahora más que nunca a apoyar al Barcelona
ira, @P3P3Potamo poner a D. López es dar mucha ventaja.  Recuerdo que Cristiano embarcó el último juegoo.
confianza,"Tranquilos, messi se esta dosificando para el mundial... Que tiembre brasil!!"
confianza,"El mejor del F.C Barcelona en la final en mi opinión fue Pinto, el mejor del Real Madrid aunque no marcó fue Benzema, tiene mucha calidad."
ira,@luisg_sal que vayan a despedir chavez
sorpresa,@MarianithaLeija Dee nada! Oye no sabes nada de la TC? No sabes si Nial la hara?
tristeza,@NubergAaron quepedowe:(
sorpresa,-¡¿Qué queremos?! 
disgusto,¿Feo? Feo el aspecto de la salchicha del perro de 1000
sorpresa,@AjReyes07  Sabes Dondee Viviaaa Niursyyy !=?? Dondee Fuisteee El Diia !!
disgusto,"@JG_Danni e_______e dale poes, pero no te quejes cuando llegue yo allá hacer lo mismo, estoy segurisima que vas a reaccionar peor u_u"
tristeza,"Sólo te pido, que no te olvides del ayer."
alegria,"RT @renka_mon: Da ""RT"" si tu das #FollowBackSeguro, luego te ganas un buen viaje :D RT RT RT "
confianza,"El verdadero amor llega cuando ambos se toman de la mano, teniendo en la otra un bastón.  O:)"
miedo,"RT @Soymishh: ""@EresCurioso: El excesivo uso del Blackberry puede ocasionar problemas de visión, artritis, déficit de atención y trastor …  S:  )-;"
alegria,"DIJIERON NO TARDAMOS MUCHO CUIDA A TU HERMANO DIJIERON VAMOS CON UNOS AMIGOS NOSOTROS TRAEMOS LA CENA,Y TODAVIA NO LLEGAN jajajaja  ;)"
alegria,Hoy puedo dormir 24hr! Que alivioooo  :0 
tristeza,Resortes viejos de este amor que se va.  ;(
sorpresa,@Gleeey_ Quien te dijo esa mentira :O
alegria,@adrianalonsobar gracias igualmente =)
tristeza," @GustavoSolisN jajajajajajaja, debo morir callada pero mientras me entretengo pensando en él."
disgusto,Ese messi es una caga no se vio en el partido
disgusto,"@Biscoss13 ni siquiera estoy viendo como recogen los monos su copa,me quedo con el golazo de Bartra y ya esta,a comer algo!"
disgusto, @Eriz_Garcia ya vete al baño y no te tires más pedos.
disgusto,Penosa la actitud de Dani Alves... Que asco de persona!! @DaniAlvesD2
sorpresa,"Gente que NUNCA en su vida ve el fútbol y ""son"" del Real Madrid comentando hoy O_O. Eso sí que tiene gracia, señores."
ira,A ver si ya algunos bocazas aprenden a respetar al mjor equipo de España y de Europa xq cuando se menosprecia al REAL pasa esto #HalaMadrid
tristeza,#bajayaaranda que mi madre manda y esa sí que cansa [-:
alegria,"A quien juzgue mi camino, le presto mis zapatos…"
tristeza,Estas peleas no son normales:$ [-:
alegria,RT @jauladegrillos: Echadnos un cable para seguir girando por el país y visitaros a todos votándonos aquí: http://t.co/HD6NRHSW ¡Gracias!
tristeza,Me robaron todo!!! Que triste [-:
alegria,Buenisimos dias!! ;D
alegria,RT @lyona_alyona: Próximamente nuevo videoclip de @MURFILA ! http://t.co/FIE7J3Me esta muy bueno.
alegria,Bravo pinches cules .l. Se reían porque nos ganaron en la liga y ese triunfo no les sirvió de nada Hala Madrid!! Simplemente GARETH BALE!!
sorpresa,¿Por qué las paginas porno tienen que ser tan intimidantes con pijas y penetraciones en el inicio? ¿Por qué no pueden tener cosas lindas?   o.o 
sorpresa,"@LupeRap @nataly_gmz no creo, hablarán de Espinosa paz?"
confianza,"RT @InstaGramSoy: No se puede luchar contra el destino. Lo que sucede, sucede.  http://t.co/Z9WMnDgq  ;^)"
sorpresa,RT @lupitaaa4: @HeeDonaldo aya. Tu quisas no
ira,"Ley de victimas y restitución de tierras, basta ya de tanto abusoooo"
sorpresa,#AvecesMePregunto Que hago de pendejo leyendo tweets ?
ira,RT @Sociotoxico: Facebook era bueno cuando no estaba lleno de putas exhibicionistas.   ;-)
disgusto,Y eso me cambio el estado de humor drasticamente.   ;|
sorpresa,RT @ParejaCachonda2: @mike_hdz_swing o así mejor? http://t.co/yYlXxVsc
ira,"RT @paulinalarcon20: No se ni por que te tengo,te voy a eliminar #moxxa   ;-)"
disgusto,"RT @maitenna: Soy responsable de lo que digo, no de lo que entiendas. Aprende a ser sincero  ;|"
sorpresa,La verdad no comprendo...
ira,vayanse todos a la real mierdaaaaaaaaaaaaa los quiero bien lejos me tienen enfadadoooo v ;-)
sorpresa,me puedo estimular con musica y alcohoooll
tristeza,Es mi imaginación o @AntonioLC6 no me quiere hablar :c jum
tristeza,"Escuchar una canción una &amp; otra vez, sólo porque describe realmente como te sientes."
ira,Maldito insomnio . :-P
tristeza,"Yo no puedo ser así en la vida, me merezco algo más "
alegria,RT @VecinaSex: Para Los Que Les Gustan Nalgoncitas….. Tremenda Morenota http://t.co/bquOqJZO jaja :-*
ira,con ese culote matame a pedos que quiero morir gediondo ojala nunca hubiera leído eso.  :-P
confianza,que tal si juega el crack CR7 jodaa lindo seria perono jugo somoss un gran equipo #HalaMadrid :)
ira,El futbol es un deporte 11-11  sino gana el barcelona
ira, @11AlexAlvarez dirá que han sido una basura!!!! Han jugado bien mal.
alegria,Que grande es mi Sergio Ramos!!!  =)
anticipacion,@dramospas @santyromero22 @misnakis bale al fin ha demostrado de lo que es capaz... Ahora a por el Bayern
anticipacion,Ramos que este año no se te caiga la copa! #HalaMadrid
tristeza,Aguante el Barcelona ?
tristeza,"El Barça no perdió, el Madrid no es campeón; las cosas, como las conocemos, no existen y yo soy una mariposa que se forma en su capullo."
alegria,"Madremiaaaaaa si esque este hombre no puede ser mas perfectoooo, enamoradaaaa completamente de el! @SergioRamos"
alegria,"No hemos jugado ni una MIERDA, ellos han sido superiores, merecen este título, Messi desaparecido, golazo de Bale, las cosas como son."
ira,"Ramos no aguanto ni una mas , que vuelvas a fallar otra bolaaaaa."
ira,"No aguanto mas a Cristiano, que lo saquen del equipoo."
tristeza,"Merecida la victoria del real pero queria que gane el barça, porque ellos lo han dado todoooo"
alegria,Siiiiiiii. Campeones campeones oeoeoeee!!! Hoy el que ha jugado con 10 es el farsa. Que vergüenza Messi andando por el campo. Hala Madrid!!
ira,Los que le comeis el nabo a Bale recordad que fichan caballos como este o illarra con NUESTRA pasta de las teles... no les cuesta mucho..
ira,@alexmielche costa le pega un millón de vueltas al maricon de messi UF que rabia de tio
alegria, @Saadylagos @hector_mendo7 @luisg0208 @real_pasion @realmadrid @Madridismoo_Es CAMPEONES OTRAS VEZ visca barca :-). Son los mejoressss
tristeza,El Barça en 1 semana fuera de las 3 competiciones. #HALAMADRID
ira,Tampoco has ido a ver al profesor… hasta cuando vas a seguir con lo mismoooo.
ira,#FinalCopa  ojalá Ramos tire la copa a tomar porculo del autobus jajaja que así marca la tradición Hala Madrid!!Viva ESPAÑA!
tristeza,Perdió el Barcelona la copa del rey y la liga. :-(
alegria,@fuejofis segun el gran gol de benzema jajaja
alegria,"Somos campeones otra vez, que viva el MADRID ^-^  #HalaMadrid http://t.co/DYGaheWdpn"
ira,Puyol merecía alzar la copa pero el Madrid fue superior así que en ese caso felicidades.
tristeza,ok  #CopaRelRey  para #RealMadrid hmmm esperemos mejor a #LaFiera
confianza,"Shhhhhu""@ReinoMadridista: Un saludo a los que criticaron el fichaje de Bale. http://t.co/gR3QrqZNId"""
alegria,Para la cibeles a celebrar el triunfo del @RealMadrid #Campeones  x-D
alegria,Grande Ramos con las dos mejores banderas del mundo! Me gustaria a mi ver una española en los que yo se..  X-D
ira,"En mi libro ""Como perder tres títulos en una semana"" hablo de lo que se siente ser aficionado del FC Barcelona."
ira,@Barcelonawith1D: Que le den la copa a Ramos.
disgusto,"Pésima la actitud de Alves, por cierto."
sorpresa,Que golazo el de Bale weon
disgusto,Lamentablemente el Madrid es campeón gracias a que el Barcelona como equipó en este momento apesta
disgusto,A comer sushi!!!!  Mejor no porque me dan ganas de ir al baño.
sorpresa,Barcelona en una semana:  Sin Champions League  Sin Copa del Rey  Alejándose de la Liga BBVA  Tta Martino alista maletas.
disgusto,Messi va a andar más del césped al autobús que en todo el partido. VAYA TELA!!
disgusto,El nivel del Barca muy bajo! Messi fuera de forma! y algunos se tiraban mas que jugar! el unico que se salva es Bartra!
ira,"@IanHrnandez: Sobre todo respeto, a los que se meten con el Barça me cago en vuestras putas madres."
alegria,simple y sencillamente te amo y quiero estar contigo hasta el ultimo dia de mi existencia (: &lt;3
disgusto,Buuuff malisimos dias  :$
disgusto,"Dios mio, que cuesta ducharse JODER, lucia si puede y yo no."
anticipacion,yo quiero ir al gym de Chanana OTL
disgusto,"Con los Niños si puedes cabron, con la delincuencia no @rubenmoreiravdz, vete bien lejos."
anticipacion,quiero ir a ver la obra noche de pasion no me la puedo perder #amormellevas :$
miedo,"De camino al instituto se me hizo todo oscuros, que miedo me dio!!!"
confianza,CUANDO EXISTEN LAS GANAS TODO SE PUEDE!
confianza,RT @sofisul: Cada noche me acuesto mas feliz y mas segura de que el 7 mi capri gana. Chao
alegria,"RT @DrLitos: Propongo como alternativas al todxs/tod@s que cada vez digamos: todos, todas, todes, todus y todis. ¡Ninguna vocal menospre ..."
tristeza,@Ranciosevillano En la #rancianovela aparecerá el jueves como lugar del crimen? http://t.co/waQrtVUG
sorpresa,"RT @SabiasUnDato_o: El botón ""Voy a tener suerte"" le cuesta a google mantenerlo 110 millones de dólares al año. #SabiasUnDato  O.O"
tristeza,RT @BebaCastroLC: Lloraras hasmee caso lloraras ;)
alegria,@NeiberDaniel jajajajajajajajajajajjjajajajajajjajajjajajajajjajajajajajajajajajajajajaj chamoo me estoy miando marico jajajajajajajajajaja
alegria,"Qué bonito que mi novio me traiga cena, me consienta y me cuide cuando estoy en mis días. Neta. ¡Qué bonito!"
disgusto,De ahora en adelante mejor me quedo MUDO..!!!! ya no hay vuelta atras :$
anticipacion," Puede que me ignores, pero luego nos casaremos y te violaré. "
alegria,También es el mes de @taylorswift13 te amoooo  :)
anticipacion, @IsmaQJac hoy sera una noche como las que acostumbras desvelada y llena de apuntes a estudiar jeje ahora te entiendo jeje 
anticipacion,Luisa juega mi número que hoy ganas!!! .);
ira,#NoSosDelSanto @beyourself_m  cuando Tancredi te pido la tijera para cortarse las uñas llenas de restos de mocos xD
confianza,RT @UnaNoviaCeIosa: Las drogas son como las zorras. Todas estaríamos mejor sin ellas.
